City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,maxixe,-23.8597,35.3472,18.84,90,16,0.67,MZ,1683772966
343,nemuro,43.3236,145.575,4.75,84,97,6.04,JP,1683772966
344,namtsy,62.7161,129.6658,4.74,50,95,6.48,RU,1683772966
345,tofol,5.3248,163.0078,28.67,75,100,2.69,FM,1683772966
346,harper,4.375,-7.7169,26.48,83,100,2.12,LR,1683772967
347,khandyga,62.6667,135.6,1.87,99,100,2.32,RU,1683772967
348,port alfred,-33.5906,26.891,20.43,41,0,4.51,ZA,1683772967
349,talnakh,69.4865,88.3972,-13.77,83,12,4.04,RU,1683772967
350,tongchuan,35.0806,109.0897,19.77,48,85,1.13,CN,1683772968
351,olyokminsk,60.3736,120.4264,3.43,63,100,3.37,RU,1683772968
352,sao joao da barra,-21.6403,-41.0511,21.99,94,100,3.85,BR,1683772968
353,ngorongoro,-3.2397,35.4875,10.87,97,92,2.36,TZ,1683772968
354,gadzhiyevo,69.2551,33.3362,2.27,99,100,3.05,RU,1683772969
355,guiratinga,-16.3494,-53.7583,19.81,70,38,0.94,BR,1683772969
356,port lincoln,-34.7333,135.8667,17.57,47,100,7.89,AU,1683772969
357,vikindu,-7.0067,39.2985,22.06,91,55,2.58,TZ,1683772969
358,mikuni,36.2171,136.1519,17.95,52,0,6.06,JP,1683772970
